Feature,Importance
conditioning_intensity,0.08019775
prod_type,0.06959764
dri_score,0.05493327
comorbidity_score,0.043556068
graft_type,0.042679407
karnofsky_score,0.03960217
arrhythmia,0.028989544
pulm_severe,0.023594782
year_hct,0.023156933
prior_tumor,0.022223817
cmv_status,0.021730773
hla_match_drb1_high,0.020749986
diabetes,0.020039756
sex_match,0.019820733
donor_related,0.01973258
cardiac,0.018957091
hla_match_a_high,0.018291747
in_vivo_tcd,0.017974654
race_group,0.016944833
hepatic_severe,0.016917352
age_at_hct,0.016816689
hla_match_b_low,0.016658882
tbi_status,0.015701618
donor_age,0.015581907
gvhd_proph,0.015288582
prim_disease_hct,0.015133114
hla_nmdp_6,0.015058124
psych_disturb,0.014801072
hla_match_drb1_low,0.014359833
hla_match_c_high,0.0140809715
vent_hist,0.013562786
rheum_issue,0.013007993
hla_match_b_high,0.012863699
peptic_ulcer,0.0127500575
hla_high_res_6,0.012680453
renal_issue,0.012490028
obesity,0.012450719
hla_low_res_10,0.012393544
hla_match_dqb1_high,0.01236148
hla_low_res_8,0.012237153
pulm_moderate,0.011847451
hla_low_res_6,0.011786769
hla_match_dqb1_low,0.011713235
hepatic_mild,0.011696523
rituximab,0.011068875
hla_match_a_low,0.011015638
ethnicity,0.010579983
melphalan_dose,0.010420232
hla_match_c_low,0.009901648
