Feature,Importance
dri_score,18.312076762465203
conditioning_intensity,10.279915838820086
comorbidity_score,8.771953068842647
year_hct,6.106416765812759
karnofsky_score,5.565300617940742
donor_age,5.184171481275904
prim_disease_hct,5.070019699088424
age_at_hct,4.022704771585212
sex_match,2.8663508800968884
gvhd_proph,2.721907383168395
cmv_status,2.475299724626543
race_group,1.823656785489745
tbi_status,1.7250182159734215
arrhythmia,1.6382204513069047
prior_tumor,1.3495794125143654
donor_related,1.3209404484565548
pulm_severe,1.3178864911527244
in_vivo_tcd,1.1594800709514286
cardiac,1.1301246241042637
hla_nmdp_6,1.0653401999860705
hla_match_a_high,0.9885894441312658
diabetes,0.9879264367340027
hla_match_drb1_high,0.9322928477848208
hla_match_dqb1_high,0.8002398816336811
psych_disturb,0.7802820992168081
obesity,0.7403305808952779
hla_low_res_10,0.7389924301867224
vent_hist,0.6960003794974681
hla_match_drb1_low,0.6474950133078204
hla_high_res_6,0.6168728283064081
hla_low_res_6,0.5964729514742836
hepatic_severe,0.5903480960346589
prod_type,0.5888901067381243
pulm_moderate,0.5429328518772025
ethnicity,0.46924570361349993
renal_issue,0.4533704282576955
hla_match_c_high,0.4426033552089474
hla_match_dqb1_low,0.4223734783366554
melphalan_dose,0.4222347098112692
hla_match_b_low,0.41992536655075374
rituximab,0.4145652994671263
hepatic_mild,0.40136650529349294
hla_low_res_8,0.3962959997216572
hla_match_b_high,0.37505179264146865
rheum_issue,0.3747296964147461
graft_type,0.35921020191781106
peptic_ulcer,0.3107463508130774
hla_match_a_low,0.30857640900013544
hla_match_c_low,0.27567506147480814
