Feature,Importance
conditioning_intensity,0.11071275
prod_type,0.11015859
graft_type,0.09785497
dri_score,0.03634714
comorbidity_score,0.031137636
in_vivo_tcd,0.028484669
karnofsky_score,0.024039952
cmv_status,0.023355925
sex_match,0.021002037
hla_match_drb1_high,0.020585245
hepatic_severe,0.01819948
age_at_hct,0.01814622
gvhd_proph,0.018013744
prim_disease_hct,0.01795005
psych_disturb,0.01734676
cardiac,0.016733017
year_hct,0.016624782
hla_match_a_high,0.016005015
tbi_status,0.015692428
pulm_severe,0.014642694
hla_match_b_low,0.014641637
hla_match_drb1_low,0.013915335
prior_tumor,0.013628037
race_group,0.013449168
vent_hist,0.0133444145
peptic_ulcer,0.013275102
donor_related,0.013194929
diabetes,0.013013666
hla_nmdp_6,0.012151358
pulm_moderate,0.012112554
hla_match_dqb1_high,0.011874243
hla_match_dqb1_low,0.01175297
hepatic_mild,0.01130124
donor_age,0.010923696
hla_match_b_high,0.010833549
hla_match_c_high,0.010783371
hla_high_res_6,0.010631403
rheum_issue,0.010316564
hla_match_a_low,0.010281367
hla_low_res_10,0.010278323
obesity,0.010256602
hla_low_res_6,0.010068285
arrhythmia,0.009946612
melphalan_dose,0.009725357
hla_low_res_8,0.009537766
ethnicity,0.009480925
rituximab,0.009140911
hla_match_c_low,0.008778816
renal_issue,0.008328684
