Feature,Importance
conditioning_intensity,26.342138713331195
dri_score,7.632025559345663
prim_disease_hct,6.700187116648722
comorbidity_score,4.9679741118273695
year_hct,4.804480565892437
age_at_hct,4.383168681988161
karnofsky_score,3.9216442490909573
donor_age,3.722903491567121
cmv_status,3.14955121394518
sex_match,3.1343034877578413
gvhd_proph,2.537610973061293
tbi_status,1.7300700456703022
prod_type,1.628581314795158
pulm_severe,1.5709284503381797
cardiac,1.4313124118051384
in_vivo_tcd,1.216092358179576
psych_disturb,1.1705056231192466
graft_type,1.158826572382438
diabetes,1.0845529732034396
vent_hist,1.032861121525512
hla_match_dqb1_high,0.9907611494764819
hla_match_drb1_high,0.9764579106377758
hla_match_a_high,0.9263729973140858
prior_tumor,0.9037133302782497
hla_nmdp_6,0.8547099853228923
hla_low_res_10,0.8305348717378818
pulm_moderate,0.8272917841442159
arrhythmia,0.7163291989553634
hla_match_b_low,0.6967585788504197
hla_match_dqb1_low,0.6956395242096075
race_group,0.6899019828279283
obesity,0.6077873466007233
hepatic_severe,0.563709495364742
hla_high_res_6,0.5029611697515217
hla_low_res_6,0.48816616891262227
peptic_ulcer,0.4835899012936202
hla_low_res_8,0.48164815751776296
rituximab,0.4453643073248206
melphalan_dose,0.4404628916254161
hla_match_drb1_low,0.44038080443699007
hepatic_mild,0.4297330705827076
hla_match_b_high,0.42673217052301604
hla_match_a_low,0.40870552255848014
donor_related,0.38654683511603477
hla_match_c_high,0.3455259035476975
ethnicity,0.31717550726785626
hla_match_c_low,0.28971889062711337
rheum_issue,0.2623563466301759
renal_issue,0.25124516108888656
